,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
31,396125,0.44000000000000006,False,Centrum-West,52.37824,4.88532,Private room,2,1,1,1,70.0,3,14,True,1,0,4.45,False,35.0,210.0,0.06,0.09,0.15,2.99,0.0027397260273972603,350.0
32,414865,0.0,False,Zuid,52.35043,4.84676,Entire home/apt,2,1,1,5,110.0,4,30,True,2,1,4.88,False,55.0,440.0,0.07,0.17,0.18,4.99,0.038356164383561646,561.5616438356165
33,437757,1.0,True,De Pijp - Rivierenbuurt,52.35503,4.90516,Entire home/apt,2,1,1,5,145.0,3,7,True,0,1,4.63,False,72.5,435.0,0.07,0.16,0.18,4.99,0.005479452054794521,550.972602739726
34,438089,1.0,False,De Baarsjes - Oud-West,52.36116,4.86608,Private room,2,1,1,12,129.0,4,60,True,2,1,4.78,True,64.5,516.0,0.07,0.18,0.14,4.99,0.4383561643835616,645.0
35,440992,0.62,False,Zuid,52.341621,4.849049,Entire home/apt,4,2,2,9,200.0,3,60,True,2,3,4.87,False,50.0,600.0,0.07,0.29,0.25,4.99,0.13150684931506848,1000.0
36,441424,0.92,False,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,4,2,3,6,150.0,3,30,True,0,0,4.55,False,37.5,450.0,0.06,0.26,0.15,4.99,0.005479452054794521,751.4383561643835
37,446999,1.0,False,De Baarsjes - Oud-West,52.35927,4.86529,Private room,2,1,1,3,119.0,4,90,True,10,0,4.77,True,59.5,476.0,0.07,0.18,0.18,4.99,0.4438356164383562,595.0
38,505012,0.0,False,Centrum-Oost,52.36412,4.88757,Entire home/apt,4,2,5,7,299.0,3,30,True,1,0,4.72,False,74.75,897.0,0.14,0.27,0.35000000000000003,4.99,0.4383561643835616,1495.0
39,505650,0.8200000000000001,False,Zuid,52.35482,4.87438,Private room,3,1,3,6,140.0,3,21,True,0,2,4.96,False,46.67,420.0,0.05,0.19,0.19,4.99,0.6246575342465753,720.3424657534247
40,508433,1.0,False,Geuzenveld - Slotermeer,52.37166,4.82951,Entire home/apt,4,2,3,14,375.0,3,30,True,6,1,4.86,False,93.75,1125.0,0.13,0.18,0.24,4.99,0.01643835616438356,1664.7260273972602
41,515749,0.76,False,Centrum-Oost,52.35902,4.89606,Private room,4,1,1,12,165.0,3,365,True,4,5,4.85,False,41.25,495.0,0.07,0.15,0.21,4.99,0.7698630136986301,825.0
42,515921,0.10999999999999999,False,Zuid,52.35022,4.8525,Entire home/apt,4,2,1,4,165.0,3,30,True,1,0,4.19,False,41.25,495.0,0.08,0.18,0.19,4.99,0.057534246575342465,797.1917808219179
43,517996,0.04000000000000001,False,Centrum-West,52.37827,4.88568,Entire home/apt,2,1,1,14,410.0,3,1125,True,28,0,4.67,True,205.0,1230.0,0.08,0.26,0.13,10.99,0.40273972602739727,1872.3287671232877
44,522471,0.5,False,Bos en Lommer,52.3774,4.851,Entire home/apt,4,2,5,8,180.0,8,25,True,0,0,4.96,False,45.0,1440.0,0.07,0.14,0.17,4.99,0.030136986301369864,900.0
45,556829,0.6900000000000001,False,Buitenveldert - Zuidas,52.33558,4.86878,Entire home/apt,2,1,1,14,148.0,3,1125,True,5,1,4.68,False,74.0,444.0,0.07,0.12,0.2,4.99,0.4383561643835616,662.4794520547945
46,568446,0.47000000000000003,False,Centrum-Oost,52.37079,4.90153,Entire home/apt,2,1,2,5,108.0,3,5,True,0,1,4.82,False,54.0,324.0,0.06,0.13,0.21,4.99,0.0,539.2465753424658
47,570753,0.35000000000000003,False,Zuid,52.34904,4.86765,Private room,3,1,2,1,75.0,4,30,True,6,1,4.87,False,25.0,300.0,0.06,0.11,0.17,4.99,0.43561643835616437,375.0
48,575603,0.3600000000000001,False,Centrum-Oost,52.36112,4.89462,Entire home/apt,4,2,4,6,245.0,5,35,True,0,0,4.82,False,61.25,1225.0,0.03,0.25,0.3,4.99,0.0136986301369863,1225.0
49,582028,1.0,False,Slotervaart,52.36021571517094,4.843456508827677,Entire home/apt,3,2,1,5,211.0,5,17,True,5,0,4.8,False,70.33,1055.0,0.08,0.15,0.24,4.99,0.1178082191780822,819.6027397260274
50,582382,0.5800000000000001,False,Oud-Noord,52.39442,4.91478,Entire home/apt,5,3,3,2,170.0,4,14,True,0,0,4.78,False,34.0,680.0,0.09,0.15,0.2,4.99,0.0,850.0
51,590236,0.64,False,De Baarsjes - Oud-West,52.36809,4.85436,Entire home/apt,2,1,1,3,120.0,4,8,True,0,1,4.85,False,60.0,480.0,0.06,0.17,0.19,4.99,0.4547945205479452,600.0
52,623123,0.8,False,De Baarsjes - Oud-West,52.36247,4.86534,Entire home/apt,4,2,2,10,450.0,4,14,True,0,0,4.32,True,112.5,1800.0,0.16,0.22,0.32,10.99,0.019178082191780823,2329.3150684931506
53,627213,0.6699999999999999,False,Zuid,52.35094,4.88552,Entire home/apt,5,3,3,10,100.0,7,30,True,0,0,5.0,False,20.0,700.0,0.07,0.16,0.2,4.99,0.0,799.4109589041096
54,633585,0.96,False,De Pijp - Rivierenbuurt,52.34918,4.89197,Entire home/apt,2,1,1,5,125.0,4,61,True,0,0,4.83,False,62.5,500.0,0.05,0.12,0.15,4.99,0.4246575342465753,625.1095890410959
55,634170,1.0,True,Westerpark,52.38388,4.86562,Entire home/apt,4,2,4,3,109.0,14,1125,True,0,0,4.88,False,27.25,1526.0,0.07,0.12,0.16,4.99,0.06027397260273973,542.7397260273973
56,653459,1.0,False,Buitenveldert - Zuidas,52.32237,4.86024,Entire home/apt,4,2,5,9,240.0,6,28,True,0,0,4.94,False,60.0,1440.0,0.06,0.12,0.21,4.99,0.23013698630136986,1202.6575342465753
57,658063,0.91,False,De Baarsjes - Oud-West,52.36188,4.87694,Private room,4,1,3,2,146.0,3,1125,True,3,2,4.36,False,36.5,438.0,0.06,0.07,0.18,4.99,0.06027397260273973,757.054794520548
58,660856,0.8300000000000001,False,Watergraafsmeer,52.3551,4.93262,Entire home/apt,4,2,6,15,275.0,7,33,True,1,0,4.82,False,68.75,1925.0,0.08,0.29,0.2,4.99,0.005479452054794521,1396.2328767123288
59,664697,0.0,False,Oud-Noord,52.38537,4.90241,Entire home/apt,2,1,1,8,87.0,30,180,True,4,0,4.33,False,43.5,2610.0,0.05,0.1,0.15,4.99,0.8273972602739726,435.0
60,667305,0.92,False,Noord-West,52.41878,4.89397,Entire home/apt,2,1,1,5,146.0,5,120,True,19,3,5.0,False,73.0,730.0,0.06,0.14,0.16,4.99,0.9342465753424658,728.4931506849315
61,679838,0.5900000000000001,False,Centrum-Oost,52.36716,4.90462,Entire home/apt,2,1,1,14,395.0,3,10,True,0,0,4.94,False,197.5,1185.0,0.12,0.15,0.23,4.99,0.0,2195.4383561643835
62,689623,0.7300000000000001,False,Centrum-Oost,52.3737,4.92581,Entire home/apt,2,1,1,1,120.0,14,60,True,2,0,4.73,False,60.0,1680.0,0.08,0.19,0.19,4.99,0.10684931506849316,600.0
63,708528,0.69,False,De Pijp - Rivierenbuurt,52.35537,4.89477,Private room,2,1,1,7,139.0,3,10,True,1,3,4.87,False,69.5,417.0,0.07,0.15,0.17,4.99,0.03561643835616438,650.8219178082192
64,719623,0.08000000000000007,False,Centrum-West,52.38284,4.89007,Entire home/apt,2,1,1,6,156.0,4,150,True,0,0,4.61,False,78.0,624.0,0.09,0.23,0.22,4.99,0.4246575342465753,780.0
65,728144,0.99,True,Centrum-Oost,52.36112,4.89632,Entire home/apt,4,2,4,9,214.0,3,1125,True,0,1,4.89,False,53.5,642.0,0.07,0.1,0.25,4.99,0.0,1079.1780821917807
